Data,Nazwa święta / wydarzenia
1 stycznia (niedziela),"Nowy Rok, Świętej Bożej Rodzicielki"
6 stycznia (piątek),Trzech Króli (Objawienie Pańskie)
9 kwietnia (niedziela),Wielkanoc
10 kwietnia (poniedziałek),Poniedziałek Wielkanocny
1 maja (poniedziałek),Święto Pracy
3 maja (środa),Święto Konstytucji 3 Maja
28 maja (niedziela),Zesłanie Ducha Świętego (Zielone Świątki)
8 czerwca (czwartek),Boże Ciało
15 sierpnia (wtorek),"Święto Wojska Polskiego, Wniebowzięcie Najświętszej Maryi Panny"
1 listopada (środa),Wszystkich Świętych
11 listopada (sobota),Święto Niepodległości
25 grudnia (poniedziałek),Boże Narodzenie (pierwszy dzień)
26 grudnia (wtorek),Boże Narodzenie (drugi dzień)
